"Gene"	"Chen2016_5"	"Chen2016_7"	"Chen2016_8"	"Chen2016_9"	"Chen2016_10"	"Chen2016_18"	"Chen2016_19"	"Chen2016_22"	"Chen2016_23"	"Chen2016_25"	"Chen2016_31"	"Chen2016_37"	"Chen2016_42"	"Chen2016_43"	"Chen2016_47"	"Chen2016_50"	"Chen2016_6"	"Chen2016_18"	"Chen2016_22"	"Chen2016_27"	"Chen2016_37"	"Chen2016_2"	"Chen2016_3"	"Chen2016_4"	"Chen2016_6"	"Chen2016_6"	"Chen2016_8"	"Chen2016_9"	"Chen2016_NaN"	"Chen2016_16"	"Chen2016_18"	"Chen2016_24"	"Chen2016_25"	"Chen2016_49"	"Chen2016_50"	"Chen2016_52"	"Chen2016_54"	"Chen2016_1"	"Chen2016_3"	"Chen2016_4"	"Chen2016_7"	"Chen2016_9"	"Chen2016_16"	"Chen2016_19"	"Chen2016_24"	"Chen2016_40"	"Chen2016_47"	"Chen2016_2"	"Chen2016_19"	"Chen2016_26"	"Chen2016_43"	"Chen2016_45"	"Chen2016_49"	"Chen2016_50"
"A1BG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A2M"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A4GALT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AAAS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AACS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AADAT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AAGAB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AAK1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AAMP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AANAT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
