"Gene"	"TCGA_TCGA-D9-A148"	"TCGA_TCGA-DA-A3F2"	"TCGA_TCGA-EE-A2GS"	"TCGA_TCGA-EE-A3JI"	"TCGA_TCGA-ER-A2NF"	"TCGA_TCGA-ER-A2NG"	"TCGA_TCGA-FR-A3YN"	"TCGA_TCGA-FR-A3YO"	"TCGA_TCGA-FR-A69P"	"TCGA_TCGA-FR-A7U9"	"TCGA_TCGA-FR-A8YD"	"TCGA_TCGA-GN-A4U4"	"TCGA_TCGA-GN-A4U9"	"TCGA_TCGA-GN-A8LK"	"TCGA_TCGA-GN-A8LN"	"TCGA_TCGA-QB-AA9O"	"TCGA_TCGA-WE-A8K5"	"TCGA_TCGA-WE-AAA0"	"TCGA_TCGA-WE-AAA4"
"A1BG"	362.8904	319.1968	490.9347	229.8379	272.131	89.4554	201.3733	365.3634	180.1957	216.3575	307.8086	200.4303	185.3061	888.0029	271.291	844.2197	237.8089	307.9712	320.5249
"A2M"	143986.5599	51435.7229	17546.1929	4089.7681	56959.2357	165348.8119	27758.3561	73306.2206	18077.8381	6534.1816	23842.2563	16765.1485	3267.8053	12154.7709	52551.585	53383.3627	19209.596	46008.8881	107835.8343
"A4GALT"	65.0692	1365.4618	73.2938	21.9451	33.509	54.4554	30.5499	130.3258	145.0178	387.5668	60.8387	34.8783	58.1894	150.5065	48.5726	77.9637	154.2347	74.1832	229.8343
"AAAS"	982.2899	1447.7912	1365.8754	451.1222	1009.7892	748.6896	636.3107	1940.8521	853.2028	1146.1875	2139.3975	992.4457	1157.0905	1051.1336	1012.3562	1148.7715	868.6869	921.397	1297.2376
"AACS"	612.9012	548.1928	656.3798	138.1546	362.9518	555.9115	693.6282	2552.8822	640.5694	408.4507	533.9634	828.2711	585.662	561.9875	397.1027	341.2901	352.3699	524.8288	978.453
"AADAT"	58.2498	13.0522	115.4303	0.7481	7.1536	52.417	43.3518	5.0125	366.1032	60.2234	29.5334	3.8754	409.8378	23.1548	203.6643	30.2308	188.0342	26.3454	1.6575
"AAGAB"	1305.0789	411.6466	1150.7418	1058.6035	803.4639	926.325	649.6945	567.9198	1137.4555	1251.0928	467.8086	723.9886	1544.3223	1492.5229	627.1836	1244.2372	806.9153	1058.3239	844.7514
"AAK1"	962.9681	899.5984	597.0326	873.0673	379.8946	1153.1741	1253.1277	557.3935	464.4128	924.2351	307.1471	438.6208	970.382	991.7993	453.3447	665.8738	496.115	702.3139	761.8785
"AAMP"	6193.5128	3191.7671	3218.3976	2979.8005	2674.3223	2831.392	3614.1984	5049.6241	2265.5694	3171.4424	4202.5989	2377.7124	2561.1722	3739.508	2663.8262	4214.8139	2650.7382	2348.5571	4016.0221
"AANAT"	1.4207	5.0201	1.1869	0	0.753	0.2912	0.291	1.5038	0	4.3711	2.9533	0.3523	0.4186	0	0.4261	0	0.777	0.3467	2.2099
"AARS"	2599.0761	6378.5141	5455.4896	3012.9676	6464.2319	3145.894	3646.494	8835.0877	3857.2064	4071.3939	13191.9669	4666.9961	1664.8875	6517.1249	3565.4026	2202.8727	3723.3877	3028.6853	8748.0663
"AARS2"	1744.5293	570.2811	1747.0267	1110.1945	2238.9797	1054.1176	936.238	1835.5539	751.7126	566.2943	3604.1465	779.9735	1653.4003	2151.8186	782.1602	1617.3095	1410.8197	588.5848	1447.4641
"AARSD1"	826.5784	593.3735	851.9288	700.2494	698.7952	339.5457	846.6686	742.3559	741.9929	771.7339	958.0626	802.9051	585.662	872.1659	530.8905	969.7731	885.0039	672.5019	831.4917
"AASDH"	119.341	56.2249	257.8635	471.0723	242.8464	203.5527	535.6415	48.1203	278.0249	152.5012	80.9214	360.0566	221.4547	122.5277	197.6992	37.3908	217.5602	283.9068	100
"AASDHPPT"	1010.1362	226.9076	1554.5994	1966.818	1639.2884	598.7187	860.6343	563.9098	1372.331	935.8912	535.7354	2037.7161	1105.1805	383.0198	1596.4508	493.2398	1034.965	523.4422	317.6796
"AASS"	364.8424	23.0924	316.0237	469.0773	240.5873	372.452	592.668	352.381	796.2633	230.6945	258.7123	690.8718	900.0523	139.4115	1540.2642	421.6405	844.2113	351.1569	90.6077
"AATF"	3573.41	2467.8715	2064.095	2209.9751	1805.7229	1011.0658	2888.2747	2272.1805	1274.0214	2069.4512	3102.1855	1842.5598	1769.1261	3854.3174	1420.9629	2026.261	1931.2354	2041.0781	3671.2707
"AATK"	408.3166	84.3373	80.1573	69.5761	260.9488	193.9429	1605.4699	104.2607	72.0641	20.8839	313.6444	52.1413	128.6279	1138.273	302.9399	394.8942	1137.467	76.6098	2188.3204
"ABAT"	40.6328	198.7952	18.9911	47.1322	44.0512	79.2079	34.3323	43.609	48.9324	41.7678	27.1707	9.8646	168.7075	43.4153	155.0916	19.8887	30.6915	54.7708	66.2983
"ABCA1"	1125.7833	1951.8072	375.0712	116.187	1375	1763.5323	1501.8854	290.2155	284.2527	534.7207	330.7738	354.7438	298.8885	68.4998	335.7265	264.122	1076.8998	923.8132	630.9337
"ABCA10"	1.1366	0	4.451	2.4938	1.1295	0.8736	20.0756	0	6.6726	3.8854	1.1813	15.1492	2.0931	13.507	224.1159	1.5911	40.0155	38.8249	0.5525
"ABCA11P"	35.6915	21.9277	47.5579	93.9252	12.82	23.7915	71.5828	18.2707	243.2651	63.4871	80.1477	51.5776	390.9869	33.2947	53.0124	39.9445	89.7125	30.682	34.4199
"ABCA13"	3.1256	1.004	8.9021	1.7456	2.6355	17.7635	13.0928	7.0175	97.8648	18.4556	30.124	3.5231	703.2967	3.8591	44.3119	7.1599	1.9425	12.4794	7.1823
"ABCA2"	756.6787	3767.0683	152.5223	1412.7182	237.1988	1476.1211	1447.7742	1663.1579	331.4057	851.3842	1317.1884	1168.5986	583.5688	1421.6112	1639.9659	634.8474	1761.4608	856.5734	1565.1934
"ABCA3"	2486.2705	217.8715	493.4718	1366.5835	277.4849	226.8492	502.1821	31.0777	130.7829	165.6144	4197.2829	623.5814	116.3789	546.5509	848.7431	1470.1729	122.7661	1507.2363	320.9945
"ABCA4"	28.1304	6.0241	3.5608	2.2444	0.3765	0.2912	4.6552	5.0125	4.4484	0.9713	2.9533	0.7046	15.0706	2.412	2.9825	3.1822	1.554	0.6933	4.9724
"ABCA5"	440.4251	19.0763	238.8724	2.9925	366.3404	404.7758	1475.7056	23.5589	96.5302	25.255	62.0201	376.9673	219.3616	301.9778	610.1406	116.9456	771.1733	1121.0677	77.9006
"ABCA6"	17.0487	57.2289	59.9407	154.3641	3.7651	18.0547	31.7137	0	40.4804	91.7921	3.544	285.3678	2.5118	1.4472	292.288	22.2753	70.7071	25.9988	3.3149
"ABCA7"	317.3902	1336.3454	165.5786	322.1945	119.3524	201.8055	261.2744	468.1704	35.1423	203.0112	456.5859	298.0508	174.5683	617.945	126.1184	979.3197	333.3333	1268.7408	1245.3039
"ABCA8"	3.1256	5.0201	759.6439	4991.2718	7.1536	0.2912	0	0	1798.9324	4.8567	42.5281	480.5452	5.4422	1.9296	308.0528	129.6743	4.2735	10.7462	0.5525
"ABCA9"	6.2512	82.3293	44.8071	69.8254	146.8373	2.6209	28.5132	0	355.8719	22.3409	5.9067	41.2198	10.4657	6.2711	142.3093	7.1599	571.8726	16.9859	4.9724
"ABCB1"	44.8949	83.3333	10.6825	7.2319	35.7681	129.2953	142.8571	189.9749	12.9004	23.3123	8.2693	11.6261	13.8148	11.095	9.7997	27.0486	13.209	45.4112	48.6188
